region_id,Región,Comuna,Pacto,Partido,Nro.voto,Nombres,Primer apellido,Segundo apellido,Votos,Cargo,Coalicion1,Coalicion2
1,DE TARAPACA,ALTO HOSPICIO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,PATRICIO ELIAS,FERREIRA,RIVERA,6833,ALCALDE,0,0
1,DE TARAPACA,CAMIÑA,INDEPENDIENTES,INDEPENDIENTES,252.0,EVELYN MARIA,MAMANI,VIZA,596,ALCALDE,1,0
1,DE TARAPACA,COLCHANE,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU,250.0,JAVIER IGNACIO,GARCIA,CHOQUE,1120,ALCALDE,0,0
1,DE TARAPACA,HUARA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,251.0,JOSE ANDRES,BARTOLO,VINAYA,1463,ALCALDE,1,1
1,DE TARAPACA,IQUIQUE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,MAURICIO ALEJANDRO,SORIA,MACCHIAVELLO,28346,ALCALDE,0,0
1,DE TARAPACA,PICA,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,IVAN MANUEL,INFANTE,CHACON,2086,ALCALDE,1,1
1,DE TARAPACA,POZO ALMONTE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,RICHARD ALFONSO,GODOY,AGUIRRE,2922,ALCALDE,0,0
2,DE ANTOFAGASTA,ANTOFAGASTA,INDEPENDIENTES,INDEPENDIENTES,254.0,JONATHAN RODRIGO,VELASQUEZ,RAMIREZ,26913,ALCALDE,1,0
2,DE ANTOFAGASTA,CALAMA,CHILE DIGNO VERDE Y SOBERANO,FEDERACION REGIONALISTA VERDE SOCIAL,250.0,ELIECER DANIEL,CHAMORRO,VARGAS,11528,ALCALDE,0,0
2,DE ANTOFAGASTA,MARIA ELENA,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,OMAR FRANCISCO,NORAMBUENA,RIVERA,1056,ALCALDE,1,1
2,DE ANTOFAGASTA,MEJILLONES,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA,250.0,MARCELINO SEGUNDO,CARVAJAL,FERREIRA,2840,ALCALDE,0,0
2,DE ANTOFAGASTA,OLLAGUE,INDEPENDIENTES,INDEPENDIENTES,254.0,HUMBERTO JOSE,FLORES,GONZALEZ,290,ALCALDE,1,0
2,DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,CHILE DIGNO VERDE Y SOBERANO,INDEPENDIENTES-LISTA M,251.0,JUSTO ALEXIS,ZULETA,SANTANDER,1106,ALCALDE,0,0
2,DE ANTOFAGASTA,SIERRA GORDA,INDEPENDIENTES,INDEPENDIENTES,252.0,DEBORAH DEL PILAR,PAREDES,CUEVAS,456,ALCALDE,1,0
2,DE ANTOFAGASTA,TALTAL,INDEPENDIENTES,INDEPENDIENTES,252.0,GUILLERMO GRICERIO,HIDALGO,OCAMPO,2170,ALCALDE,1,0
2,DE ANTOFAGASTA,TOCOPILLA,INDEPENDIENTES,INDEPENDIENTES,254.0,LJUBICA ELENA,KURTOVIC,CORTES,3583,ALCALDE,1,0
3,DE ATACAMA,ALTO DEL CARMEN,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE,250.0,CRISTIAN DIDY,OLIVARES,IRIARTE,1493,ALCALDE,0,0
3,DE ATACAMA,CALDERA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA,250.0,BRUNILDA CLEMENTINA,GONZALEZ,ANJEL,3805,ALCALDE,0,0
3,DE ATACAMA,CHAÑARAL,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE,250.0,MARGARITA ALICIA,FLORES,SALAZAR,2169,ALCALDE,0,0
3,DE ATACAMA,COPIAPO,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU,252.0,MARCOS RODRIGO,LOPEZ,RIVERA,10485,ALCALDE,0,0
3,DE ATACAMA,DIEGO DE ALMAGRO,CHILE VAMOS,RENOVACION NACIONAL,252.0,MARIO EDWAR,ARAYA,ROJAS,2594,ALCALDE,1,1
