Comuna,region_id,Poblacion 2021_1,Poblacion 2022_1,Poblacion 2021_2,Poblacion 2022_2,SUM Población 2021,SUM Población 2022
Algarrobo,5,0.24296799224054316,0.23783718689788053,0.7570320077594569,0.7621628131021194,8248,8304
Alhué,13,0.29110919292188175,0.28208413410207134,0.7088908070781182,0.7179158658979287,4634,4683
Alto Biobío,8,0.3147482014388489,0.30761316872427985,0.685251798561151,0.6923868312757202,3892,3888
Alto Hospicio,1,0.351965985811084,0.34305939846922273,0.6480340141889159,0.6569406015307773,81613,83487
Alto del Carmen,3,0.23426014701182488,0.22604501607717042,0.7657398529881752,0.7739549839228296,3129,3110
Ancud,10,0.24127124432480213,0.2349499677211104,0.7587287556751979,0.7650500322788896,24889,24784
Andacollo,4,0.2788749251944943,0.27185340943226194,0.7211250748055057,0.728146590567738,6684,6658
Angol,9,0.267978733327115,0.2617549978202653,0.732021266672885,0.7382450021797347,32163,32114
Antofagasta,2,0.33514573970927375,0.32567761306595233,0.6648542602907263,0.6743223869340477,278819,281097
Antuco,8,0.2642857142857143,0.2590717299578059,0.7357142857142858,0.7409282700421941,2380,2370
Antártica,12,0.0603448275862069,0.058823529411764705,0.9396551724137931,0.9411764705882353,116,119
Arauco,8,0.2662993572084481,0.2596166498530637,0.7337006427915519,0.7403833501469362,22869,22799
Arica,15,0.31656664508247606,0.3116783341832849,0.6834333549175239,0.6883216658167152,149801,150989
Aysén,11,0.25662948366842564,0.2476457623722701,0.7433705163315744,0.7523542376277299,14971,14973
Buin,13,0.2918789029900141,0.2823991381021236,0.7081210970099859,0.7176008618978764,69498,70542
Bulnes,16,0.26381948782011244,0.25778858981401553,0.7361805121798876,0.7422114101859845,12808,12743
Cabildo,5,0.266156462585034,0.26100682593856656,0.733843537414966,0.7389931740614335,11760,11720
Cabo de Hornos,12,0.2807843137254902,0.27230046948356806,0.7192156862745098,0.7276995305164319,1275,1278
Cabrero,8,0.2699076110866696,0.2633697210276767,0.7300923889133304,0.7366302789723232,18184,18138
Calama,2,0.3030858464897274,0.29431820022351435,0.6969141535102725,0.7056817997764856,122754,123482
Calbuco,10,0.27143386782834367,0.26498889711324947,0.7285661321716563,0.7350111028867505,21578,21616
Caldera,3,0.27819614711033275,0.2705161854768154,0.7218038528896672,0.7294838145231846,11420,11430
Calera,5,0.29852532177737534,0.29286665151465957,0.7014746782226247,0.7071333484853405,30922,30799
Calera de Tango,13,0.3008859419401571,0.2912739099277879,0.6991140580598428,0.7087260900722121,17947,18141
Calle Larga,5,0.2796774522813106,0.2741188318227593,0.7203225477186894,0.7258811681772407,9797,9930
Camarones,15,0.20833333333333334,0.20287769784172663,0.7916666666666666,0.7971223021582734,696,695
Camiña,1,0.2918918918918919,0.2847411444141689,0.7081081081081081,0.715258855585831,740,734
