Comuna,Poblacion 2021_hombre,Poblacion 2021_mujer,Poblacion 2022_hombre,Poblacion 2022_mujer
Algarrobo,0.49026606099935105,0.5097339390006489,0.49048642623994904,0.5095135737600509
Alhué,0.5071550255536627,0.4928449744463373,0.5072852118573103,0.49271478814268965
Alto Biobío,0.5074978577549272,0.4925021422450728,0.5078891257995736,0.49211087420042643
Alto Hospicio,0.500423100170339,0.49957689982966097,0.5000535320442817,0.4999464679557183
Alto del Carmen,0.5244802146210596,0.4755197853789403,0.5246776345042241,0.4753223654957759
Ancud,0.49422157681369877,0.5057784231863012,0.4942511437515049,0.5057488562484951
Andacollo,0.4922101046071667,0.5077898953928333,0.49229916897506926,0.5077008310249308
Angol,0.47595096617227345,0.5240490338277266,0.47547687089054624,0.5245231291094538
Antofagasta,0.497452020140595,0.502547979859405,0.4972438226198697,0.5027561773801303
Antuco,0.483338248304335,0.516661751695665,0.48327464788732394,0.516725352112676
Antártica,0.6967213114754098,0.30327868852459017,0.696,0.304
Arauco,0.48423201224698076,0.5157679877530192,0.48406307098869866,0.5159369290113014
Arica,0.49853819011487543,0.5014618098851246,0.49937431606724925,0.5006256839327508
Aysén,0.5077837837837837,0.4922162162162162,0.5070823049683443,0.4929176950316558
Buin,0.49330911871535077,0.5066908812846492,0.4937190489012726,0.5062809510987274
Bulnes,0.47815465030396,0.52184534969604,0.47759507261117706,0.5224049273888229
Cabildo,0.48891459417775207,0.5110854058222479,0.4893154190658989,0.5106845809341011
Cabo de Hornos,0.5358680057388809,0.46413199426111906,0.5367594575303355,0.4632405424696645
Cabrero,0.4867349951495213,0.5132650048504788,0.48634040056984834,0.5136595994301517
Calama,0.5006156256995746,0.4993843743004253,0.5002943926852076,0.49970560731479235
Calbuco,0.5022546325653491,0.49774536743465086,0.5022124664645831,0.4977875335354169
Caldera,0.5107419864094996,0.48925801359050036,0.5102651257647859,0.4897348742352141
Calera,0.48448971653619877,0.5155102834638012,0.4846218995765275,0.5153781004234724
Calera de Tango,0.49737009159336176,0.5026299084066382,0.49757054339588996,0.50242945660411
Calle Larga,0.4891495133237594,0.5108504866762407,0.488828125,0.511171875
Camarones,0.5170731707317073,0.48292682926829267,0.5140640155189137,0.4859359844810863
Camiña,0.5239005736137667,0.47609942638623326,0.5219047619047619,0.4780952380952381
Canela,0.49476987447698745,0.5052301255230126,0.4950430472214975,0.5049569527785025
Carahue,0.4960329726944874,0.5039670273055126,0.49617811522084854,0.5038218847791515
Cartagena,0.49187888510126326,0.5081211148987367,0.49193944755725943,0.5080605524427406
Casablanca,0.491967516991791,0.508032483008209,0.491887424420375,0.5081125755796251
Castro,0.48779955237731315,0.5122004476226868,0.4875347756799827,0.5124652243200173
Catemu,0.49582267689684567,0.5041773231031543,0.49603776766143987,0.5039622323385601
Cauquenes,0.4787561755303691,0.5212438244696309,0.47861024395883917,0.5213897560411608
Cañete,0.48015844174722,0.51984155825278,0.47990185465829543,0.5200981453417045
Cerrillos,0.4902492031295277,0.5097507968704723,0.49038849501412185,0.5096115049858781
Cerro Navia,0.49543273373790153,0.5045672662620985,0.49581102247477504,0.504188977525225
Chaitén,0.5259984928409948,0.4740015071590053,0.5250311332503114,0.4749688667496887
Chanco,0.4956319956319956,0.5043680043680043,0.49556918882072254,0.5044308111792775
Chañaral,0.5045449796259533,0.4954550203740466,0.5041279130525655,0.4958720869474344
Chiguayante,0.474414875661078,0.525585124338922,0.4740981220788671,0.525901877921133
Chile Chico,0.5122745490981964,0.4877254509018036,0.5114370959721531,0.48856290402784686
Chillán,0.46446820193146215,0.5355317980685378,0.4632271596569872,0.5367728403430128
Chillán Viejo,0.4645975926362993,0.5354024073637007,0.4638572865877254,0.5361427134122746
Chimbarongo,0.5015547582436357,0.49844524175636423,0.5015420069813943,0.49845799301860577
Cholchol,0.48945652173913046,0.5105434782608695,0.4894578313253012,0.5105421686746988
Chonchi,0.49761847097763784,0.5023815290223621,0.4969992798271585,0.5030007201728415
Chépica,0.503789074834228,0.49621092516577203,0.5038395235856449,0.4961604764143551
Cisnes,0.5217391304347826,0.4782608695652174,0.5211330935251799,0.47886690647482016
Cobquecura,0.4921286789869952,0.5078713210130048,0.49099612491452016,0.5090038750854798
Cochamó,0.5249311716121138,0.4750688283878862,0.5250917992656059,0.4749082007343941
Cochrane,0.5182012847965739,0.4817987152034261,0.5175097276264592,0.48249027237354086
Codegua,0.5072437021315862,0.4927562978684138,0.5070140280561122,0.49298597194388777
Coelemu,0.48270356572645023,0.5172964342735498,0.4822888283378747,0.5177111716621253
Coihueco,0.485042636552201,0.5149573634477991,0.48406683710737763,0.5159331628926224
Coinco,0.5067698259187621,0.4932301740812379,0.5071029529130088,0.4928970470869912
Colbún,0.4871546015071934,0.5128453984928065,0.4868443292579864,0.5131556707420136
Colchane,0.5242255758538522,0.47577442414614773,0.524341580207502,0.475658419792498
Colina,0.49733180428134555,0.5026681957186544,0.4975598471733031,0.502440152826697
Collipulli,0.4829086071026507,0.5170913928973493,0.482273466070703,0.517726533929297
Coltauco,0.5030674846625767,0.49693251533742333,0.5028458450662033,0.49715415493379667
Combarbalá,0.48892291066282423,0.5110770893371758,0.48882305413412336,0.5111769458658767
Concepción,0.48180536542508634,0.5181946345749137,0.48162353814928044,0.5183764618507195
Conchalí,0.49252387448840385,0.5074761255115962,0.4927885493117172,0.5072114506882828
Concón,0.4807361350136013,0.5192638649863988,0.48083128247197154,0.5191687175280284
Constitución,0.4925384960777581,0.5074615039222419,0.4924262346815337,0.5075737653184663
