Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021
ALGARROBO,3.840490526474296e-09,0.0024603724653589768,5.7537307349911534e-05,0.0,0.0,0.00014603465226918508,0.15896254589019795,0.02512972745327295,0.0005925563498322878,0.0,7.941535292226712e-05,0.03338562440772839,0.0010130636399064007,3.688407101625913e-07,0.0,0.0003080159429220178,2.6362663169930147e-06,9.831655747774198e-07,3.0975860390331076e-06,0.01009392069515243,6.969568587824491e-06,0.0,8068200,5.0,0.23224287342463212
ALHUE,0.0,0.0004066627416236164,1.6529930639617602e-05,0.0,0.0,0.002525270891842125,0.0017197739837458148,8.999628903791803e-05,3.49141521652083e-05,0.0,0.0065679659071664585,0.008029605555389667,2.652135538178646e-05,0.0,0.33959824169614383,0.003947438535025097,6.61197225584704e-07,0.0,0.0,7.522955099985965e-07,0.0020784543773723334,0.0,1844700,13.0,0.365042788908269
ALTO BIO BIO,0.0,0.0036447200682456463,9.585062638384343e-06,0.0,0.0,2.3962656595960858e-06,0.01834640895628253,0.04206943898628378,0.0,0.0,1.4976660372475534e-05,0.21710406502506494,0.0007338563582513012,0.0,0.0,0.0,0.00013478994335227982,0.0,0.0,0.003369748583806995,0.0007763900737091316,0.0,129200,8.0,0.28620637598366705
ALTO DEL CARMEN,5.37491077648111e-07,0.0,0.0,0.0,0.0,0.000120935492470825,0.0,0.0030233873117706247,0.0,0.0,0.17036800939104413,0.000174147109157988,0.0007761371161238723,0.0,0.0,0.17709041029918904,8.599857242369777e-06,0.0,0.0,0.0,0.0031045484644954893,0.0,136400,3.0,0.35466671253257204
ALTO HOSPICIO,4.2250044361802975e-08,2.365138893354212e-05,1.8881527925272004e-05,0.0,0.0,0.0037117914573157025,5.299845564744566e-06,0.0005922847818885967,2.4784230923006267e-05,0.0,1.0903215448184326e-06,0.22051590059071455,0.02411804454362229,3.455884628618036e-07,0.0004515441550134156,0.005246258329378911,9.229454590764882e-06,4.20812131845332e-06,3.992407801957926e-05,4.9280451743607e-08,0.027573975140288594,2.4403625623377402e-08,24325200,1.0,0.28233732948962675
ANCUD,2.8245639532109807e-07,0.00017899993274828025,0.00019998553521577574,0.0,0.0,0.0019652569799650963,0.00034945622696814295,0.00015425976930195841,0.00011396715093178916,0.0,0.013501208659548328,0.2662637740680448,0.0030384674071687956,4.537042615751073e-05,1.907301492866719e-05,0.007854882891430043,2.1144717790379597e-05,8.954374978513508e-06,4.324946695842901e-08,3.609461686900989e-07,0.007803767761383573,4.134862618840423e-06,8655300,10.0,0.3015233904312114
ANDACOLLO,6.532145114212034e-07,0.00010968673742911494,4.5362118848694684e-09,0.0,0.0,0.0011069990035360057,1.8144847539477874e-08,1.1340529712173671e-09,6.36986213403083e-05,0.0,0.00023066750839858367,0.03821534537540711,0.044710992128793495,0.0,0.1432480382797312,0.0029249902492707973,2.90317560631646e-07,0.0,0.0003430510237932536,0.0,0.005399366818534316,0.0,2969500,4.0,0.23635380309341864
ANGOL,3.2546101784312255e-07,0.0001751336016961744,0.000383436400650417,0.0,0.0,0.0003752983902601988,1.3132135784627849e-05,0.003545020058288427,1.4201295565520948e-05,0.0,0.10140335933344927,0.10397300603566084,0.005456281912067761,2.5300607385100476e-05,4.1216948869682066e-05,0.0020030540631781582,4.26430763093045e-06,1.452662745778667e-06,1.7790922054523086e-06,1.2499355892566661e-07,0.010897686362483932,0.0,12445400,9.0,0.228314073662499
ANTARTIDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87890625,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,1600,12.0,0.8828125
ANTOFAGASTA,2.8849896831705136e-05,0.0008449190495368571,0.0018863334107941236,0.0,0.0,0.009967410481377623,0.0004802538790145876,0.0023083490879950916,0.0016631752807868764,2.2934499070040187e-08,6.658751754901703e-06,0.045015015846738025,0.012501043372892956,0.00020571089953554307,0.0032313261374265177,0.019593697369999354,0.0003501119969100945,6.305032294807514e-05,0.0003721524896048468,0.0003490486353466926,0.01189155190086578,1.5744207137954026e-11,151213600,2.0,0.11075868176060295
ANTUCO,8.151615981446923e-06,0.0008987156619545232,5.094759988404327e-07,0.0,0.0,4.585283989563894e-06,8.151615981446923e-06,0.0,0.0,0.0,0.001223251873215879,0.3195759529366452,0.0002246789154886308,0.0,0.0,0.0011254324814385158,0.0013776231008645297,0.0,0.0,0.0,0.0774912994236298,0.0,140100,8.0,0.4019383523851884
ARAUCO,9.271585985206825e-08,0.0005454372047651337,0.000290756936496086,0.0,0.0,0.0007155460061011686,1.9618675944697642e-06,2.6043885032445968e-06,3.3377709546744567e-06,0.0,0.05926400079640698,0.06562295883933941,0.01581828089590897,5.794741240754266e-09,3.7458134538834086e-05,0.04248809069821625,1.2352070428791793e-06,7.011636901312661e-07,6.387195585208981e-06,0.0,0.007313123148900479,0.0,6568300,8.0,0.19211197876464503
ARICA,9.21170649170228e-05,0.0013066059153197995,0.0015434623368456761,0.0,0.0,0.0013184466075103502,0.0003875297235521309,0.0010833119606489003,0.00035591755002014713,6.67618568939648e-07,0.0023888567626746057,0.17146081881757155,0.006386597585513763,5.836488434312637e-05,0.0005657624648684446,0.010080468453060567,2.936541564338469e-05,7.669106515377753e-06,2.391995583298235e-05,1.9213193828700006e-06,0.013737505756747185,3.406217188467592e-11,34268400,15.0,0.210829309333599
AYSEN,8.394401072476552e-06,0.0006145882196470212,0.00012853430753697554,0.0,0.0,0.005008382772684753,1.5446967447999195e-05,0.0008394401072476551,0.00015931970235105383,0.0,0.017202927623828135,0.09581093019495097,0.00906458276039827,2.3618575720744987e-06,0.00042368017977060873,0.001941662100197115,3.9354348649876645e-05,1.8128732629943498e-05,6.9979789659020016e-06,6.347373211702496e-10,0.05262037453076789,0.0,3969200,11.0,0.18390510742045602
BUIN,0.00019724354727305592,0.0002706808342079348,0.0005133665400420271,0.0,0.0,0.0006664284539653777,0.00026159639266094646,0.0002774684872225776,0.00032833277663026295,1.4979503402627173e-10,0.026977546366009037,0.13178813577126985,0.0017561634248363877,0.00019501530869315664,1.565216736511177e-05,0.056740697100492996,2.351992683479065e-05,1.4533488688813945e-06,5.112888361091347e-06,2.340547406660496e-08,0.0013171039285077442,0.0,32682200,13.0,0.22133554081851034
BULNES,8.063604134490176e-06,3.412879326941812e-05,4.0458013799785775e-06,0.0,0.0,6.835186316052583e-05,0.0051644079331168895,0.0004662646097297976,2.528625862486611e-07,0.0,0.05958064101503823,0.04219574870813314,0.00022402050218948857,6.321564656216527e-08,1.2634379741974628e-06,0.1400792309828233,4.410658468095159e-06,0.0,0.00015581585055192586,0.0,0.0010481375126661081,0.0,6761400,16.0,0.24903484735086842
