Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021,HHI_2022
ALGARROBO,2.3937215516271316e-07,0.0025220650260477048,2.798503606197205e-05,0.0,0.0,0.0007219081869181825,0.07596342359558057,0.07489406184241798,0.0001832260863239924,0.0,0.0007601961994919496,0.02675339245490888,0.001495497902635306,1.9785604700168017e-06,1.6623066330743974e-09,0.000614494919208814,3.4036767253843957e-06,7.157268997030953e-07,1.0598243727494955e-06,0.007764636880444625,4.136660445822095e-05,0.0,9810800,5.0,0.19174965355742782,0.19174965355742782
ALHUE,0.0,0.0008104202894233086,3.7767234113795755e-06,0.0,0.0,0.004843323622427514,0.0003900204886831255,0.0,1.3517855891716522e-05,0.0,0.014784741069649896,0.009980050927611684,4.637452194688872e-06,0.0,0.3188075962217328,0.00442858476868525,0.0,1.5106893645518302e-05,0.0,2.758746100350311e-09,0.0003170378605983581,0.0,1903900,13.0,0.35439881693270137,0.35439881693270137
ALTO BIO BIO,0.0,0.0019860586011342155,6.645793950850661e-05,0.0,0.0,7.384215500945179e-06,0.0023924858223062385,0.050137051039697546,6.645793950850661e-05,0.0,0.0023924858223062385,0.18998227788279773,0.00013025756143667297,0.0,0.0,0.00040435964083175796,4.725897920604915e-06,0.0,0.0,0.009045663988657845,0.01146296077504726,0.0,184000,8.0,0.2680786271266541,0.2680786271266541
ALTO DEL CARMEN,3.92585473709336e-07,0.0,0.0,0.0,0.0,0.00010050188126959001,0.0,0.0005668934240362811,0.0,0.0,0.21035671886483123,0.014623416310199054,0.0060363942437547495,3.92585473709336e-07,0.0,0.06793927173824284,0.0,0.0,0.0,0.0,0.0022675736961451243,0.0,159600,3.0,0.3018915553294263,0.3018915553294263
ALTO HOSPICIO,9.177743626888687e-07,3.2208718476777246e-05,6.46458307302225e-06,0.0,0.0,0.003551974786095144,8.470405911052529e-06,0.00015020957721845635,0.0004871071621487917,0.0,1.0458761804794778e-06,0.16439996211564553,0.025427942879687214,3.111697727046381e-07,0.0029199277372201514,0.011472694293772553,7.014855542213762e-05,7.801809191387487e-06,2.1910704845888593e-05,1.4746414611737863e-07,0.022528688668060702,6.535807030133125e-11,24738900,1.0,0.23108793434658892,0.23108793434658892
ANCUD,4.654047518471559e-07,0.0001787898894696034,0.00015107051172868455,0.0,0.0,0.00038826249215841467,0.0002990795651438989,0.0003062002578471604,7.330241192780668e-05,0.0,0.016498884030508573,0.25735288623665636,0.003922077540956426,3.692340310418505e-06,2.9785904118217976e-05,0.01434547524773915,1.8374308882023448e-05,2.735545708079394e-07,1.1914361647287192e-06,7.467160685192146e-07,0.005998982444221725,7.27194924761181e-07,8795000,10.0,0.2995702674881492,0.2995702674881492
ANDACOLLO,1.3383376590634507e-06,0.00020831938836451592,7.586948180631807e-10,0.0,0.0,0.0012940571947020116,0.0,1.896737045157952e-08,2.2950518246411218e-06,0.0,0.0006547847344760656,0.015370399077836796,0.10698782395344072,0.0,0.0943905242355481,0.00251310071535248,2.7313013450274508e-08,7.586948180631807e-10,0.0006505625978135439,0.0,0.007580818685196675,7.586948180631807e-10,3630500,4.0,0.229654072528683,0.229654072528683
ANGOL,5.189472620928609e-06,0.00031603308163768166,0.00043959736217932447,0.0,0.0,0.004025889845790839,2.8970891367872576e-06,0.002463684188096235,0.00011089287791784967,1.1823647124935243e-09,0.08892831773702052,0.08989996591821893,0.003899268561285044,1.6955183874951668e-05,1.5704833191489768e-05,0.0030268536639834224,1.3727328209844347e-05,1.891783539989639e-06,1.0819376097261058e-06,2.1356462619414284e-08,0.01076757677310451,7.389779453084527e-11,11632800,9.0,0.2039355502501432,0.2039355502501432
ANTARTIDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,12.0,1.0,1.0
ANTOFAGASTA,0.00010414264992796779,0.0009308339781893267,0.0011156624598583932,0.0,0.0,0.009063012576376647,0.0002775830670027823,0.0011454891192854099,0.001992756578766984,1.4216168795763994e-08,4.5929393432523655e-05,0.0533143950600416,0.015537190428660539,0.00017355155872705554,0.0035507021843619153,0.02311922309473169,0.0001784072408044253,0.00010204828875595805,0.0002912148858666638,0.00011933371097992071,0.00937519265410764,7.996594947617246e-11,167740800,2.0,0.1204366832260122,0.1204366832260122
ANTUCO,6.68558408396425e-06,0.001711509525494848,0.000106969345343428,0.0,0.0,4.1784900524776565e-07,0.0,0.0023504006545186818,4.1784900524776565e-07,0.0,0.005055972963497964,0.10868252626494385,0.014611761864509118,0.0,9.401602618074728e-05,0.0006685584083964249,0.0023504006545186818,0.0,4.1784900524776565e-07,0.0,0.11516963207141542,0.0,154700,8.0,0.2508096869099189,0.2508096869099189
ARAUCO,1.4421205326878982e-06,0.0006629579320506717,0.0001694168987079427,0.0,0.0,0.00032076618973852063,0.017093292604212367,1.1621000421576568e-05,1.7689278218621702e-06,0.0,0.047718014171801014,0.04875597929971883,0.007931514365857593,3.228055672660158e-07,1.3734076327548788e-05,0.035585792442537394,6.204336341925851e-07,7.484887352567897e-07,1.4733006158897293e-06,0.0,0.006814673798482318,0.0,7744300,8.0,0.16508413885676296,0.16508413885676296
ARICA,0.00022014409524546405,0.0017746499620259384,0.0013105588925861938,0.0,0.0,0.001112775736050454,6.452252082720077e-05,0.0006080201723383545,0.0003719324277747994,2.474616007036877e-09,0.0034214156144026153,0.17308496428495324,0.007762409772188099,6.55783455653832e-05,0.0004851794454364656,0.01409916859882089,4.755893898536716e-05,1.4194568788663184e-05,2.548089481302318e-05,2.9140420029235586e-06,0.008562150572895524,6.8548919862517364e-12,38194400,15.0,0.2130336213671715,0.2130336213671715
AYSEN,6.296170095122185e-07,0.0030412075601963925,0.00012288697039030647,0.0,0.0,0.00894246999355216,3.163389751685048e-05,3.625417527782985e-05,0.00018448649820935694,0.0,0.041129949006942584,0.07746548213115038,0.010703210844846241,1.203134925616341e-06,1.472737364810587e-06,0.0025931528155682107,2.5647089412561285e-05,9.490005859637452e-06,1.4117908740109182e-05,5.446513923116077e-10,0.026710798483608387,0.0,4284900,11.0,0.17101409341522233,0.17101409341522233
BUIN,0.0001978767454704695,0.00012604977660005817,0.000526591681501116,0.0,0.0,0.0005307153281036453,0.00020244395749147674,0.0005888287506559623,0.0004892764949612167,0.0,0.027814157484367625,0.11317312919374149,0.002287626735704652,0.00018254409245171008,8.774820114098005e-06,0.06215784003839493,3.588280190263269e-05,5.761320077418687e-06,2.301659026538474e-05,7.566183869578307e-07,0.0013871614076903002,0.0,33454500,13.0,0.2097384338378812,0.2097384338378812
