region_id,Comuna,NO
1,Alto Hospicio,0.542694965449161
1,Camiña,0.26901408450704223
1,Colchane,0.18409425625920472
1,Huara,0.36483253588516745
1,Iquique,0.542694965449161
1,Pica,0.37110016420361247
1,Pozo Almonte,0.35216240070609
2,Antofagasta,0.6150605900720507
2,Calama,0.6150440386342508
2,María Elena,0.5263053797468354
2,Mejillones,0.6265060240963856
2,Ollagüe,0.2709677419354839
2,San Pedro de Atacama,0.4082599864590386
2,Sierra Gorda,0.4935779816513762
2,Taltal,0.9252459016393443
2,Tocopilla,0.6039944903581267
3,Alto del Carmen,0.3301415487094088
3,Caldera,0.5361622073578596
3,Chañaral,0.5764957264957264
3,Copiapó,0.5462918712256158
3,Diego de Almagro,0.6880187416331994
3,Freirina,0.46405228758169936
3,Huasco,0.5417318727177882
3,Tierra Amarilla,0.5296981499513145
3,Vallenar,0.5567136725935009
4,Andacollo,0.4696164344203419
4,Canela,0.6606595783023969
4,Combarbalá,0.48669685819416925
4,Coquimbo,0.5487135341941655
4,Illapel,0.6464269634012992
4,La Higuera,0.5870036101083033
4,La Serena,0.5548285956521044
4,Los Vilos,0.6262493424513415
4,Monte Patria,0.49322196357661235
4,Ovalle,0.5239786015244047
4,Paiguano,0.27012278308321963
4,Punitaqui,0.5541876515575452
4,Río Hurtado,0.26193078324225866
4,Salamanca,0.5995855995855995
4,Vicuña,0.38286037522390876
5,Algarrobo,0.3518462924046833
5,Cabildo,0.6543021864462091
5,Calera,0.667710843373494
5,Calle Larga,0.5670900055218111
5,Cartagena,0.48251959011452683
5,Casablanca,0.44167475990072297
5,Catemu,0.5822139091991158
5,Concón,0.5897136177673875
5,El Quisco,0.485336770866903
5,El Tabo,0.4492307692307692
5,Hijuelas,0.44562334217506633
5,Isla de Pascua,0.4230769230769231
5,Juan Fernández,0.15352697095435686
5,La Cruz,0.5314009661835749
5,La Ligua,0.5668630849220104
5,Limache,0.505582577934999
5,Llaillay,0.5276663245311188
5,Los Andes,0.5781649067967827
5,Nogales,0.6716638513513513
5,Olmué,0.4625929706868893
5,Panquehue,0.5099075297225891
5,Papudo,0.42311459353574926
5,Petorca,0.6175226586102719
5,Puchuncaví,0.484713828652684
5,Putaendo,0.5858326192516424
5,Quillota,0.5513607004837445
5,Quilpué,0.5885342873335222
5,Quintero,0.49720792729661667
5,Rinconada,0.5997368421052631
5,San Antonio,0.6446326731958515
5,San Esteban,0.5834740990990991
5,San Felipe,0.5495440946003705
5,Santa María,0.5670465973851827
5,Santo Domingo,0.45459563897322663
5,Valparaíso,0.6071825943932467
5,Villa Alemana,0.5500041451349932
5,Viña del Mar,0.5596753017219613
5,Zapallar,0.3737133808392716
6,Chépica,0.5086100013776003
6,Chimbarongo,0.5202216419336348
6,Codegua,0.5179445350734094
6,Coinco,0.511123787792356
6,Coltauco,0.5914105594956659
6,Doñihue,0.6725310813980765
6,Graneros,0.6473388481348525
6,La Estrella,0.4231958762886598
6,Las Cabras,0.4747443122521394
6,Litueche,0.4536535859269283
6,Lolol,0.41201376025403547
6,Machalí,0.6455696202531646
6,Malloa,0.44421322234672644
6,Marchihue,0.48313321898227557
6,Mostazal,0.5594428602763764
6,Nancagua,0.4976357410728844
6,Navidad,0.5361428153350892
6,Olivar,0.5581620783249321
6,Palmilla,0.38207292976468477
6,Paredones,0.539812913529546
6,Peralillo,0.45719392314566576
6,Peumo,0.6008119079837618
6,Pichidegua,0.5043782837127846
6,Pichilemu,0.5124289195775792
6,Placilla,0.4195238095238095
6,Pumanque,0.4025617566331198
6,Quinta de Tilcoco,0.49991617770326907
