Comuna,pol_favor,pol_contra,region_id
ALGARROBO,0.0269010802016922,0.0269573547726901,5
ALHUE,0.0316027758404649,0.0316740661600475,13
ALTO BIOBIO,0.0843877583483288,0.080334491858065,8
ALTO DEL CARMEN,0.0328384991898248,0.0319899012356185,3
ALTO HOSPICIO,0.0294203844030356,0.029202085142441,1
ANCUD,0.0375563954522473,0.0366310978298043,10
ANDACOLLO,0.0293569119430732,0.0290847313266379,4
ANGOL,0.0317552549706884,0.0308353291803158,9
ANTARTICA,0.0,0.0,12
ANTOFAGASTA,0.0495031307420304,0.0450316136745482,2
ANTUCO,0.0341869491440818,0.0334145137700013,8
ARAUCO,0.0442147177574583,0.0406265450597021,8
ARICA,0.0375893984077745,0.0372691254646912,15
AYSEN,0.0377366493620886,0.0364203652170245,11
BUIN,0.0360690697826632,0.0361070864726255,13
BULNES,0.0283866432540698,0.0278348760522476,16
CABILDO,0.0271149647505248,0.0277933774427272,5
CABO DE HORNOS(EX-NAVARINO),0.0161790092479543,0.0150272749051205,12
CABRERO,0.0297801077508375,0.029355754574578,8
CALAMA,0.0281494158592326,0.0278392484241498,2
CALBUCO,0.0475605373163738,0.0478584100503982,10
CALDERA,0.0334081523206152,0.0328417843050598,3
CALERA,0.031418565069163,0.0280307466706287,5
CALERA DE TANGO,0.0274312762355214,0.0271590886974884,13
CALLE LARGA,0.0274309836766408,0.0283435245748373,5
CAMARONES,0.0403184100549327,0.0419093515072684,15
CAMIÑA,0.0655225350007169,0.1141211987308994,1
CANELA,0.0730523625640778,0.0512789867177753,4
CARAHUE,0.0641250355608085,0.0567526802136255,9
CARTAGENA,0.0411041490264186,0.0360418766502909,5
CASABLANCA,0.0283953104479749,0.0282849874321137,5
CASTRO,0.0425475870829067,0.0404179652188352,10
CATEMU,0.0295823023072939,0.0300734114871777,5
CAUQUENES,0.0335997798531796,0.0323994455819465,7
CAÑETE,0.0307948115847989,0.031218013098051,8
CERRILLOS,0.0413711877773549,0.0388322701550367,13
CERRO NAVIA,0.0303063075992002,0.02991960096162,13
CHAITEN,0.0304986264544444,0.0298703199120712,10
CHANCO,0.0356063123130748,0.0363061638525481,7
CHAÑARAL,0.0287521353624154,0.0289125634936825,3
CHEPICA,0.0420567112663343,0.0404001030328634,6
CHIGUAYANTE,0.0495045589388803,0.0416498519772486,8
CHILE CHICO,0.0665064007193542,0.0613995533355552,11
CHILLAN,0.0343481154218761,0.033226093580843,16
CHILLAN VIEJO,0.0238728014521181,0.0231856558345784,16
CHIMBARONGO,0.0277118071744013,0.0280859212499639,6
CHOLCHOL,0.0378876222079909,0.0377089910206696,9
CHONCHI,0.0235554629168056,0.023215202648707,10
CISNES,0.0910527922999567,0.0833258583481795,11
COBQUECURA,0.0420943713384391,0.0402828081533201,16
COCHAMO,0.0729640695100109,0.0682547127946763,10
COCHRANE,0.0399169003625915,0.0385278808666684,11
CODEGUA,0.0370113809265963,0.0373725725297802,6
COELEMU,0.0532812488053215,0.0471172289685418,16
COIHUECO,0.0388023144909419,0.0379318238105566,16
COINCO,0.0400416006455989,0.0416225831108061,6
COLBUN,0.0286049129802059,0.0289392112915837,7
COLCHANE,0.0249943700841709,0.0213539227042815,1
COLINA,0.1321210492818517,0.1126824403740192,13
COLLIPULLI,0.0384415420088254,0.0392658353801257,9
COLTAUCO,0.0349071497686579,0.0334420959811391,6
COMBARBALA,0.0288512544476963,0.0291784300607034,4
CONCEPCION,0.0422149173522864,0.0412215445101918,8
CONCHALI,0.0281727862345096,0.0268376878749738,13
CONCON,0.1105612012778797,0.1015096183644241,5
CONSTITUCION,0.032597927990667,0.0322412124459931,7
CONTULMO,0.0360004817972239,0.0363121700275353,8
COPIAPO,0.0364014711491692,0.0359728586687838,3
COQUIMBO,0.0389074742387899,0.0365746128715659,4
CORONEL,0.0376081915672086,0.0336340123478474,8
CORRAL,0.0272859978128861,0.0270356865458492,14
COYHAIQUE,0.0388148549176105,0.0375277513192484,11
CUNCO,0.0352691293906883,0.0358050221398537,9
CURACAUTIN,0.0313521986721156,0.0315384628314823,9
CURACAVI,0.0323807514397189,0.0313572419247487,13
CURACO DE VELEZ,0.0318065485358683,0.0365110560264704,10
CURANILAHUE,0.0295922672746326,0.0296232611496405,8
CURARREHUE,0.0586377745064697,0.0558584990826172,9
CUREPTO,0.073044316841871,0.0670044112505105,7
CURICO,0.0472226136032153,0.0449502833571343,7
DALCAHUE,0.0479008098647902,0.0467258239519627,10
DIEGO DE ALMAGRO,0.0269963087792453,0.0258681031046331,3
DOÑIHUE,0.0308650645185346,0.0308352859936459,6
EL BOSQUE,0.0417263049910551,0.0385986018541579,13
EL CARMEN,0.0338136252309649,0.0347427083340488,16
EL MONTE,0.0416151319957842,0.0385377330113423,13
EL QUISCO,0.0289340517145205,0.028371936069278,5
EL TABO,0.0190881458285637,0.019118682680509,5
EMPEDRADO,0.0305024240392281,0.0336166330787238,7
ERCILLA,0.0626103816971953,0.0627190195298251,9
ESTACION CENTRAL,0.04028494290765,0.0403957188665169,13
FLORIDA,0.0318522915634376,0.0288348393520296,8
FREIRE,0.0303400403912926,0.0288431844979082,9
FREIRINA,0.030930391168737,0.0312668670561347,3
FRESIA,0.0413005598784741,0.038644759939069,10
FRUTILLAR,0.0349453792592232,0.0365281694836364,10
FUTALEUFU,0.0548722378974858,0.0447256359043062,10
FUTRONO,0.0312374940251212,0.0319800659795883,14
GALVARINO,0.0352797180272396,0.0343941119366019,9
