Comuna,T_Homicidio_2021,T_Homicidio_2022
ARICA,6.3797125142,7.9012345679
CAMARONES,0.0,0.0
PUTRE,0.0,0.0
GENERAL LAGOS,0.0,0.0
IQUIQUE,8.3653638713,8.7308793742
ALTO HOSPICIO,12.6785248163,12.3849835717
POZO ALMONTE,5.6012995015,5.5029716047
CAMIÑA,0.0,0.0
COLCHANE,0.0,63.3312222926
HUARA,32.8623069339,32.6477309827
PICA,0.0,0.0
ANTOFAGASTA,1.8445420002,3.1972010788
MEJILLONES,13.1856540084,12.9617627997
SIERRA GORDA,0.0,0.0
TALTAL,0.0,7.2030540949
CALAMA,4.1377241483,7.7091095978
OLLAGUE,0.0,0.0
SAN PEDRO DE ATACAMA,0.0,9.2438528379
TOCOPILLA,10.6330190685,17.6672202396
MARIA ELENA,0.0,0.0
COPIAPO,5.194715243,1.1473876851
CALDERA,5.0989190292,20.2572672946
TIERRA AMARILLA,0.0,6.9439622248
CHAÑARAL,7.6051410754,0.0
DIEGO DE ALMAGRO,0.0,0.0
VALLENAR,0.0,1.7451702414
ALTO DEL CARMEN,0.0,0.0
FREIRINA,0.0,12.8551227664
HUASCO,0.0,8.729812309
LA SERENA,1.5720489693,4.6358895113
COQUIMBO,2.2917295301,6.7541707004
ANDACOLLO,0.0,16.9090294217
LA HIGUERA,0.0,0.0
PAIHUANO,0.0,0.0
VICUÑA,0.0,6.6253685361
ILLAPEL,0.0,3.0349934748
CANELA,0.0,10.4854776135
LOS VILOS,0.0,12.5397090787
SALAMANCA,0.0,3.3829499323
OVALLE,0.818056135,8.1292221147
COMBARBALA,0.0,0.0
MONTE PATRIA,3.0668261416,3.06391323
PUNITAQUI,16.298590172,16.1838485192
RIO HURTADO,22.9305205228,0.0
VALPARAISO,5.6706487222,7.2182225598
CASABLANCA,6.7668155366,6.6909772172
CONCON,0.0,0.0
JUAN FERNANDEZ,0.0,0.0
PUCHUNCAVI,0.0,4.8369933249
QUINTERO,19.0108905244,24.0378195027
VIÑA DEL MAR,3.5668034856,5.4498734267
ISLA DE PASCUA,0.0,11.6265550517
LOS ANDES,0.0,2.9153668989
CALLE LARGA,0.0,0.0
RINCONADA,0.0,0.0
