region_id,Comuna,riqueza_2021
5.0,ALGARROBO,8068200
13.0,ALHUE,1844700
8.0,ALTO BIO BIO,129200
3.0,ALTO DEL CARMEN,136400
1.0,ALTO HOSPICIO,24325200
10.0,ANCUD,8655300
4.0,ANDACOLLO,2969500
9.0,ANGOL,12445400
12.0,ANTARTIDA,1600
2.0,ANTOFAGASTA,151213600
8.0,ANTUCO,140100
8.0,ARAUCO,6568300
15.0,ARICA,34268400
11.0,AYSEN,3969200
13.0,BUIN,32682200
16.0,BULNES,6761400
5.0,CABILDO,4520800
12.0,CABO DE HORNOS,557900
8.0,CABRERO,6360300
2.0,CALAMA,34586300
10.0,CALBUCO,7141100
3.0,CALDERA,3326000
13.0,CALERA DE TANGO,11679100
5.0,CALLE LARGA,3285700
15.0,CAMARONES,7300
1.0,CAMINA,6000
4.0,CANELA,479600
8.0,CANETE,4161400
9.0,CARAHUE,966900
5.0,CARTAGENA,4533100
5.0,CASABLANCA,44887500
10.0,CASTRO,10262300
5.0,CATEMU,3851000
7.0,CAUQUENES,4005800
13.0,CERRILLOS,64720500
13.0,CERRO NAVIA,8932000
10.0,CHAITEN,268000
3.0,CHANARAL,2248400
7.0,CHANCO,513300
6.0,CHEPICA,1748100
8.0,CHIGUAYANTE,11138800
11.0,CHILE CHICO,1234200
16.0,CHILLAN,51298200
16.0,CHILLAN VIEJO,7784700
6.0,CHIMBARONGO,7738700
9.0,CHOLCHOL,311800
10.0,CHONCHI,5761900
11.0,CISNES,543100
16.0,COBQUECURA,116000
10.0,COCHAMO,404500
11.0,COCHRANE,260400
6.0,CODEGUA,5686000
16.0,COELEMU,3580500
16.0,COIHUECO,3608100
6.0,COINCO,836500
7.0,COLBUN,1420900
1.0,COLCHANE,21800
13.0,COLINA,103746200
9.0,COLLIPULLI,4839000
6.0,COLTAUCO,6533900
4.0,COMBARBALA,851800
5.0,CON CON,20845000
8.0,CONCEPCION,162661700
13.0,CONCHALI,60982800
7.0,CONSTITUCION,19008000
8.0,CONTULMO,740000
3.0,COPIAPO,44923900
4.0,COQUIMBO,48180100
8.0,CORONEL,33472600
14.0,CORRAL,685100
11.0,COYHAIQUE,13209400
9.0,CUNCO,3457200
9.0,CURACAUTIN,1864400
13.0,CURACAVI,12513500
10.0,CURACO DE VELEZ,614200
8.0,CURANILAHUE,3330900
9.0,CURARREHUE,529600
7.0,CUREPTO,1121800
7.0,CURICO,67669600
10.0,DALCAHUE,3698000
3.0,DIEGO DE ALMAGRO,2779700
6.0,DONIHUE,8962100
13.0,EL BOSQUE,16184800
16.0,EL CARMEN,1397900
13.0,EL MONTE,7199500
5.0,EL QUISCO,1697600
5.0,EL TABO,4348200
7.0,EMPEDRADO,753900
9.0,ERCILLA,202500
13.0,EST CENTRAL,75970200
8.0,FLORIDA,1970700
9.0,FREIRE,5470000
3.0,FREIRINA,593500
10.0,FRESIA,864800
10.0,FRUTILLAR,6290300
10.0,FUTALEUFU,416100
14.0,FUTRONO,2420100
9.0,GALVARINO,742500
15.0,GENERAL LAGOS,100
9.0,GORBEA,2250300
6.0,GRANEROS,10338700
11.0,GUAITECAS,60900
5.0,HIJUELAS,9312200
10.0,HUALAIHUE,599400
7.0,HUALANE,988800
8.0,HUALPEN,15453300
8.0,HUALQUI,5424900
1.0,HUARA,1202000
3.0,HUASCO,1546000
13.0,HUECHURABA,280915200
4.0,ILLAPEL,3705600
13.0,INDEPENDENCIA,46268700
1.0,IQUIQUE,189557700
13.0,ISLA DE MAIPO,10275000
5.0,ISLA DE PASCUA,6295000
5.0,JUAN FERNANDEZ,37100
5.0,LA CALERA,12612000
13.0,LA CISTERNA,30783000
5.0,LA CRUZ,5934300
6.0,LA ESTRELLA,3837300
13.0,LA FLORIDA,89644300
13.0,LA GRANJA,12337400
4.0,LA HIGUERA,249300
5.0,LA LIGUA,5283600
13.0,LA PINTANA,25869700
13.0,LA REINA,55624100
4.0,LA SERENA,73344700
14.0,LA UNION,6633400
14.0,LAGO RANCO,971700
11.0,LAGO VERDE,190200
12.0,LAGUNA BLANCA,230000
8.0,LAJA,2918200
13.0,LAMPA,126182200
14.0,LANCO,2535300
6.0,LAS CABRAS,43211800
13.0,LAS CONDES,2041151900
9.0,LAUTARO,13174700
8.0,LEBU,1519000
7.0,LICANTEN,422700
5.0,LIMACHE,9116500
7.0,LINARES,23310400
6.0,LITUECHE,3351100
10.0,LLANQUIHUE,6093300
5.0,LLAY-LLAY,5031400
13.0,LO BARNECHEA,213721000
13.0,LO ESPEJO,16811100
13.0,LO PRADO,4807800
